source_id;url;date;Description
S050;https://www.larevue.qc.ca/article/actualites/le-pcq-mise-sur-ange-claude-bigilimana-dans-terrebonne/;12/5/24;Articles dans La revue
S051;https://plq.org/communique/ange-claude-bigilimana-candidat-officiel-du-parti-liberal-du-quebec-dans-terrebonne/?;N/D;Site du PLQ
S052;https://www.lapresse.ca/elections-quebecoises/2026-09-02/un-septieme-candidat-du-pcq-dans-l-embarras/il-y-a-quand-meme-des-verifications-plaide-eric-duhaime.php;8/29/26;Article de La Presse
S053;https://ici.radio-canada.ca/nouvelle/2270607/candidat-conservateur-papineau-elections-quebec;8/21/26;Article de Radio-Canada
S054;https://www.lapresse.ca/elections-quebecoises/2026-08-29/un-autre-candidat-du-pcq-etait-favorable-au-51e-etat.php;8/29/26;Article de La Presse
S056;https://www.lapresse.ca/elections-quebecoises/2026-09-09/trudeau-en-hitler-theses-anti-vaccins/j-aime-pas-vos-questions-dit-duhaime-rattrape-par-ses-candidats.php;9/9/26;Article de La Presse
S059;https://www.tourniquet.quebec/eric-duhaime-nouveau-systeme-electoral/;5/15/17;Site Tourniquet.quebec
S061;https://www.journaldequebec.com/2026/09/07/la-conservatrice-marie-josee-helie--tres-fiere--de-ses-propos-passes-sur-les-vaccins;9/7/26;Article du Journal de Québec
S062;https://ici.radio-canada.ca/nouvelle/2280522/candidat-pcq-blainville-pascal-quevillon;9/4/26;Article de Radio-Canada
S064;https://www.journaldequebec.com/2026/09/03/le-pequiste-francois-gariepy-se-confie-a-richard-martineau-sur-ses--propos-regrettables;9/3/26;Article du Journal de Québec
S065;https://www.tvanouvelles.ca/2026/09/03/retire-de-la-liste-un-candidat-liberal-encore-membre-dun-parti-rival-jusquen-2029;9/3/26;Article de TVA Nouvelles
S066;https://ici.radio-canada.ca/nouvelle/2266924/pierre-dufour-candidat-elections-2026;7/5/26;Article de Radio-Canada
S067;https://ici.radio-canada.ca/nouvelle/2264674/guillaume-rousseau-candidat-richmond;5/25/26;Article de Radio-Canada
S068;https://ici.radio-canada.ca/nouvelle/1888246/drainville-bernard-retour-politique-caq;6/3/22;Article de Radio-Canada
S069;https://www.journaldemontreal.com/2022/09/01/une-candidate-pequiste-donne-a-la-caq;9/1/22;Article du Journal de Québec
S071;https://www.ledevoir.com/politique/quebec/824051/pspp-accuse-qs-wokisme-mouvement-antidemocratique;11/20/24;Article dans Le Devoir
S072;https://www.assnat.qc.ca/fr/actualites-salle-presse/conferences-points-presse/ConferencePointPresse-96813.html;11/20/24;Transcription - Point de presse - Assemblée nationale
S073;https://www.ced-qc.ca/fr/document/2423;11/29/23;"RAPPORT D’ENQUÊTE DE LA COMMISSAIRE À L’ÉTHIQUE ET À LA DÉONTOLOGIE
À LA PRÉSIDENTE DE L’ASSEMBLÉE NATIONALE"
S074;https://ici.radio-canada.ca/nouvelle/2006420/candidat-duhaime-conservateur-partielle;8/28/23;Article de Radio-Canada
S075;https://www.journaldequebec.com/2026/08/26/eric-duhaime-recrute-encore-un-candidat-conservateur-aux-declarations-controversees-sur-les-reseaux-sociaux;8/26/26;Article du Journal de Québec
;;;
0;#N/A;#N/A;#N/A
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
